LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2677,2677,9,-1.0,232.8815370281644,184.84119605641686,0.0,4035.0,269,5.0,1,,119.89893434169738,119.0,85.0,158.0,348786.0,11.86956690590935,-0.008994765143565762,-0.18336832826981478
ID2680,2680,9,-1.0,227.9828695826096,186.6225296729822,0.0,2055.0,137,5.0,1,,117.88655895496903,118.0,89.0,160.0,342932.0,8.148479500849852,-0.016939619917489435,-0.4985872607430742
ID2682,2682,9,-1.0,230.432203305387,183.50519584399282,0.0,2820.0,188,5.0,1,,118.68820900653165,119.0,83.0,147.0,345264.0,9.038398248882855,-0.01575588252786516,-0.4204225530468379
ID2684,2684,9,-1.0,233.77220383644706,183.72786254606345,0.0,3360.0,224,5.0,1,,120.01203162598952,120.0,103.0,146.0,349115.0,5.963627110460307,-0.009165841338844797,-0.37231940170902855
ID2669,2669,9,-1.0,230.432203305387,186.39986297091153,0.0,405.0,27,5.0,1,,120.92918528704058,120.0,99.0,163.0,351783.0,7.498817242115551,0.007639795522915845,0.24453711107787152
ID2686,2686,9,-1.0,234.21753724058843,185.9545295667702,0.0,3990.0,266,5.0,1,,119.21656926778996,119.0,82.0,162.0,346801.0,11.128602400558414,-0.012778798548582024,-0.27733299341701817
ID2671,2671,9,-1.0,226.20153596604422,187.51319648126494,0.0,1620.0,108,5.0,1,,119.28291509109756,119.0,98.0,176.0,346994.0,9.415850447111776,0.005364300346338114,0.13518805321212418
ID2692,2692,10,-1.0,253.14420691659555,165.46919297626835,0.0,3660.0,244,5.0,1,,120.24407012719226,120.0,99.0,147.0,349790.0,6.259427833147501,0.008887923488478472,0.3384670615375068
ID2694,2694,10,-1.0,252.69887351245424,165.46919297626835,0.0,4785.0,319,5.0,1,,121.75352354760967,121.0,95.0,151.0,354181.0,9.615622969094991,0.0192416147783694,0.47807768906229475
ID2700,2700,11,-1.0,155.39352470757044,194.1931975433851,0.0,2685.0,179,5.0,1,,122.73461670677025,123.0,89.0,156.0,357035.0,9.688567336554344,0.012687880008606668,0.3174321822909859
ID2698,2698,11,-1.0,158.28819183448917,193.9705308413144,0.0,2130.0,142,5.0,1,,120.92196631144648,121.0,97.0,149.0,351762.0,6.916859532216225,-2.5982857500549686E-4,-0.00908711467053385
ID2704,2704,12,-1.0,74.12017845177503,206.43986615727204,0.0,135.0,9,5.0,1,,124.87143348229495,125.0,96.0,172.0,363251.0,8.068097296749324,0.008050887816286127,0.2472198193117529
ID2706,2706,12,-1.0,47.62284090536503,191.74386382060766,0.0,4965.0,331,5.0,1,,116.63492609144126,116.0,61.0,183.0,339291.0,12.346335983231475,-0.005715529743938455,-0.10860913523990545
ID2708,2708,12,-1.0,57.642842498545285,206.66253285934272,0.0,7170.0,478,5.0,1,,118.94121691302773,116.0,74.0,213.0,346000.0,18.38089422155008,-0.01834409489783642,-0.24184256616737115
ID2711,2711,12,-1.0,62.76417664617075,205.5491993489894,0.0,7170.0,478,5.0,1,,115.94362323822676,115.0,74.0,216.0,337280.0,15.194777959516856,-0.014234991849456525,-0.22037703233060177
ID2721,2721,13,-1.0,280.30954456921756,248.7465395506998,0.0,3180.0,212,5.0,1,,121.70092815400379,121.0,90.0,159.0,354028.0,10.742993101964215,0.013266862093505688,0.296649051612875
ID2724,2724,13,-1.0,285.20821201477236,246.51987252999305,0.0,3555.0,237,5.0,1,,123.58233069783144,123.0,100.0,182.0,359501.0,9.545761999184336,0.0231507089542565,0.5858689216141872
ID2717,2717,13,-1.0,275.1882104215921,251.64120667761856,0.0,1470.0,98,5.0,1,,121.09934685458943,120.0,98.0,182.0,352278.0,8.870617633928683,0.0031344000380485273,0.08531261166604352
ID2719,2719,13,-1.0,276.74687733608687,252.5318734859012,0.0,2550.0,170,5.0,1,,123.59539360604691,123.0,98.0,163.0,359539.0,8.220582964480343,0.02141820710156733,0.6305349766049504
ID2728,2728,14,-1.0,87.2575138739447,180.38786201500338,0.0,3030.0,202,5.0,1,,120.98521828807137,121.0,100.0,162.0,351946.0,7.277756344461346,0.004061462349610697,0.13448905120407695
ID2730,2730,14,-1.0,78.57351249318849,179.27452850465002,0.0,3810.0,254,5.0,1,,119.27328979030773,119.0,94.0,162.0,346966.0,7.7107201010133455,-0.00188732501490152,-0.0584985876211428
