LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2050,2050,4,-1.0,67.19850678704918,96.77384310749149,0.0,2865.0,191,5.0,1,,152.86896144186827,151.0,89.0,230.0,1034770.0,20.979785838507023,106.33476141232161,99.0,0.0,255.0,719780.0,41.74575725996605,0.05699535921204099,0.7858047953592932,0.08913210585365598,0.4169140393458749
ID2053,2053,4,-1.0,59.2051726463891,104.33117720411556,0.0,3555.0,237,5.0,1,,148.88757571280667,147.0,66.0,247.0,1007820.0,23.49029477777299,100.17063081695993,95.0,0.0,255.0,678055.0,44.604533504916866,0.03666711569527467,0.44837089531847923,0.07282896466534373,0.3049053526544121
ID2047,2047,4,-1.0,71.84917392343323,96.62850975947948,0.0,60.0,4,5.0,1,,146.16752843846768,146.0,88.0,212.0,989408.0,17.7827130989119,103.66006795686512,95.0,0.0,255.0,701675.0,41.33281645819162,-0.004246362430195257,-0.0701048451834623,0.05831999817865259,0.2764056934029317
ID2065,2065,5,-1.0,83.76650846041736,92.70450936315545,0.0,3030.0,202,5.0,1,,141.7716058502023,139.0,58.0,222.0,959652.0,25.939255801304117,88.21214359580868,87.0,0.0,223.0,597108.0,24.838162228029233,-0.02938396734961842,-0.3309212943711449,-0.04516240309693969,-0.33595912676057077
ID2062,2062,5,-1.0,85.36517528854938,92.26850931911945,0.0,930.0,62,5.0,1,,143.25646328852113,142.0,88.0,209.0,969703.0,18.035101624948187,88.16723297385599,87.0,0.0,231.0,596804.0,24.297234384600188,-0.01969873331426907,-0.31923048945255644,-0.03909285491262806,-0.29525436621385615
ID2080,2080,6,-1.0,65.74517330692916,82.09517495827933,0.0,3195.0,213,5.0,1,,142.258236076229,142.0,45.0,255.0,962946.0,25.288970007483755,97.6686364307906,91.0,0.0,255.0,661119.0,37.79064231394258,-0.02072358756101477,-0.23808713017181382,0.05486184884988275,0.2688287424193625
ID2073,2073,6,-1.0,66.18117335096517,83.54850843839935,0.0,1740.0,116,5.0,1,,138.58457674693662,139.0,66.0,217.0,938079.0,22.318587773353308,99.08154823460173,91.0,0.0,255.0,670683.0,40.13564284329111,-0.03110075124605117,-0.3986304272642936,0.05821883846632805,0.27163179553454664
ID2076,2076,6,-1.0,66.61717339500117,85.29250861454337,0.0,1830.0,122,5.0,1,,142.09632146550612,141.0,73.0,237.0,961850.0,24.37241590353059,99.16634658000022,91.0,0.0,255.0,671257.0,38.70927795027022,-0.013890773289634971,-0.1642538852985257,0.06409991249421762,0.3086414623028689
ID2070,2070,6,-1.0,69.52384035524122,80.93250817418333,0.0,165.0,11,5.0,1,,139.27640715024486,141.0,56.0,220.0,942762.0,24.907713358023358,96.26503176245106,95.0,0.0,255.0,651618.0,30.666200594423383,-0.026027702234561745,-0.29885664484178404,0.025349335628375873,0.15521486416136432
ID2090,2090,7,-1.0,90.74250916499342,80.64184147815932,0.0,2430.0,162,5.0,1,,146.439208154822,146.0,71.0,229.0,991247.0,21.701871406418658,99.28866893189783,95.0,0.0,255.0,672085.0,36.721408887750925,0.006090413778749468,0.08169584517728731,0.062162162712112425,0.31647953957600145
