LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID2025,2025,1,-1.0,16.73150168988167,144.69751461444898,0.0,3555.0,237,5.0,1,,121.83232382922168,122.0,76.0,174.0,824683.0,13.009161435573805,84.04195597577008,75.0,0.0,255.0,568880.0,43.30698203912081,-0.006083684336767475,-0.11464630775179159,0.14492804560233505,0.4912951413982109
ID2029,2029,1,-1.0,14.987501513737653,142.95351443830495,0.0,3555.0,237,5.0,1,,123.17210814005067,123.0,76.0,174.0,833752.0,12.891312877186957,83.29915792583671,75.0,0.0,255.0,563852.0,43.656249104506735,0.0037879127807693832,0.07211128423294434,0.14017749253543682,0.4691697591481366
ID2050,2050,2,-1.0,45.943504640293966,111.12551122367664,0.0,3555.0,237,5.0,1,,119.16353966612431,119.0,65.0,175.0,806618.0,15.674690309876006,76.9883291475825,69.0,0.0,255.0,521134.0,34.98083753966958,-0.02831090950962009,-0.44299713403819035,0.09339977508618824,0.3760031962832068
ID2044,2044,2,-1.0,45.50750459625797,107.6375108713886,0.0,2130.0,142,5.0,1,,123.31201063672461,122.0,54.0,208.0,834699.0,21.24220422130323,75.72211552666397,69.0,0.0,220.0,512563.0,28.319213991618557,0.014234459907382912,0.16294401989202625,0.08004619981061863,0.3963418431714197
ID2054,2054,2,-1.0,41.58350419993393,106.76551078331659,0.0,3555.0,237,5.0,1,,129.0227507755956,129.0,67.0,182.0,873355.0,15.45650161377425,74.00886393854074,69.0,0.0,255.0,500966.0,36.081045224497366,0.0407657511738887,0.6539244050552444,0.07558208001001729,0.2882769409171009
ID2047,2047,2,-1.0,45.07150455222196,112.43351135578465,0.0,2700.0,180,5.0,1,,121.05274043433114,121.0,62.0,209.0,819406.0,20.958327769781057,81.83734672772812,69.0,0.0,255.0,553957.0,45.90005446418186,0.004061810516805962,0.04673122911898569,0.14287249957012219,0.4457785790761551
ID2064,2064,3,-1.0,58.5875059173381,93.90350948425446,0.0,1695.0,113,5.0,1,,128.32663613532387,128.0,72.0,182.0,868643.0,14.064172451137752,69.13827744127558,64.0,0.0,255.0,467997.0,26.569561041229054,0.027495982215521925,0.48833935888692015,0.054149579396019984,0.26733573739988475
ID2058,2058,3,-1.0,115.48551166403668,30.029503032979807,0.0,495.0,33,5.0,1,,124.85359728172529,125.0,81.0,172.0,845134.0,12.981175649115567,62.304033092037585,60.0,3.0,205.0,421736.0,17.98025701762091,-0.0027083610344132364,-0.05223978824724506,0.013539341712729032,0.09257787311081474
ID2068,2068,3,-1.0,52.48350530083404,97.3915098365425,0.0,3555.0,237,5.0,1,,125.33032944304865,126.0,72.0,176.0,848361.0,12.574854967259185,62.72699069286326,63.0,0.0,226.0,424599.0,21.40892621249769,0.014298904935016978,0.28100886078354836,0.024523664472312513,0.14026616869374595
ID2061,2061,3,-1.0,56.625505719176076,92.81350937416445,0.0,1425.0,95,5.0,1,,127.73747968680827,128.0,71.0,176.0,864655.0,14.042344046856952,75.29930565814566,69.0,0.0,255.0,509701.0,35.17902459820261,0.0207301507836869,0.36948792247112694,0.07156417631092239,0.2859003350651313
ID2077,2077,4,-1.0,112.86951139982065,73.41150741456225,0.0,615.0,41,5.0,1,,121.06057024671077,122.0,53.0,182.0,819459.0,20.16412843105273,67.44452651794862,66.0,3.0,156.0,456532.0,17.685864634684798,-0.014222771893253463,-0.17324420615528877,-0.02800429773536137,-0.21974082504128162
ID2074,2074,4,-1.0,111.77951128973064,72.53950732649024,0.0,465.0,31,5.0,1,,122.79568621657432,125.0,59.0,189.0,831204.0,19.923985398370572,79.1523120106356,75.0,0.0,220.0,535782.0,25.583803927328468,-0.007072708860411953,-0.0878021650226198,0.06614612204594673,0.38389825576323194
ID2088,2088,5,-1.0,66.65350673200417,136.4135137777649,0.0,3555.0,237,5.0,1,,118.46314078889013,119.0,69.0,170.0,801877.0,14.453781467274482,74.09381001624789,69.0,0.0,255.0,501541.0,38.29320176242145,-0.017843813501251676,-0.29780972339455086,0.0602245412585845,0.21981933564159659
ID2082,2082,5,-1.0,121.58951228054075,72.10350728245423,0.0,465.0,31,5.0,1,,121.09115083468585,121.0,59.0,201.0,819666.0,17.909885571170584,74.32190870143097,69.0,0.0,241.0,503085.0,26.456372605462683,-0.008186777249402888,-0.11161759774666909,0.029170352213601924,0.15924688938153958
ID2092,2092,5,-1.0,64.69150653384216,140.55551419610694,0.0,3555.0,237,5.0,1,,121.49032353375742,121.0,72.0,180.0,822368.0,14.228835306004816,75.95405525188134,69.0,0.0,255.0,514133.0,40.05770201126199,0.005799545769626666,0.098465678247046,0.04791533820506114,0.17339768345113946
ID2085,2085,5,-1.0,65.34550659989617,132.92551342547685,0.0,1395.0,93,5.0,1,,125.62313487959837,126.0,60.0,179.0,850343.0,16.879884447981933,87.15172108139957,75.0,14.0,255.0,589930.0,43.35187339071778,0.02349111458262309,0.34162504329979065,0.08837050115912334,0.32645900278908885
ID2104,2104,6,-1.0,141.20951426216095,47.25150477240198,0.0,1125.0,75,5.0,1,,126.54542768503525,126.0,66.0,199.0,856586.0,18.711067859144254,71.84266509085424,64.0,0.0,255.0,486303.0,33.26525281234604,0.030172524605083434,0.39616815883902734,0.05571843728269569,0.22796723046463038
ID2098,2098,6,-1.0,178.05151798320333,16.94950171189967,0.0,60.0,4,5.0,1,,127.16368739843382,128.0,61.0,203.0,860771.0,21.399355652329433,62.996158959964724,61.0,0.0,185.0,426421.0,19.258782268463605,0.040046407948333126,0.45761817050060616,0.0299026858731641,0.18994560555530443
ID2108,2108,6,-1.0,112.21551133376664,73.41150741456225,0.0,3555.0,237,5.0,1,,126.35145516324364,126.0,75.0,190.0,855273.0,15.176244385276778,69.01477323090366,63.0,0.0,255.0,467161.0,32.169134424404845,0.030292448458546985,0.4895756319044562,0.017469717555703507,0.07367108679519858
ID2101,2101,6,-1.0,177.61551793916732,15.205501535755655,0.0,900.0,60,5.0,1,,126.72004727433938,127.0,61.0,179.0,857768.0,16.450281896242412,59.46136800118187,55.0,0.0,255.0,402494.0,25.896959360077634,0.03909135000337348,0.5796007206025457,0.03534134253875249,0.1567529071640326
ID2113,2113,7,-1.0,176.9615178731133,25.45150257060176,0.0,120.0,8,5.0,1,,120.52563155562143,119.0,24.0,200.0,815838.0,28.08807019347222,59.43388979169762,57.0,0.0,200.0,402308.0,18.002235322532705,-0.017963482405502273,-0.1569821978222119,0.00977494494204416,0.0639186281198641
ID2123,2123,7,-1.0,116.5755117741267,82.13150829528234,0.0,3300.0,220,5.0,1,,124.4364012409495,123.0,63.0,188.0,842310.0,20.312819812846172,61.46757275816271,61.0,0.0,136.0,416074.0,16.639832707646708,0.013914138960042578,0.16813664576644197,-0.07533830547329763,-0.6019495372765029
ID2116,2116,7,-1.0,178.92351807127534,24.143502438493748,0.0,675.0,45,5.0,1,,124.13872063820268,125.0,62.0,186.0,840295.0,19.97557884505827,57.56596247599343,55.0,0.0,243.0,389664.0,19.555910321685925,0.01020609036972894,0.12557041077118739,0.017127725671168652,0.09913840660800297
ID2119,2119,7,-1.0,118.31951195027071,79.84250806409331,0.0,2010.0,134,5.0,1,,121.24819027921214,122.0,38.0,196.0,820729.0,23.547186920505332,80.61323681489048,75.0,5.0,255.0,545671.0,30.414705207283237,-0.0030288191908181585,-0.031286499407934744,0.04834494876030484,0.24445540323459286
ID2128,2128,8,-1.0,182.41151842356336,34.607503495357854,0.0,0.0,0,5.0,1,,118.44349239178543,121.0,22.0,193.0,801744.0,24.872697856808685,66.27832767026077,63.0,0.0,162.0,448638.0,20.010575036179617,-0.025973958891486,-0.25397202778175165,0.026773596531541502,0.17273247293471866
ID2137,2137,8,-1.0,115.04951162000067,86.92750877967839,0.0,3495.0,233,5.0,1,,127.17299453390459,128.0,61.0,201.0,860834.0,20.17621990842786,80.28408923031333,72.0,0.0,255.0,543443.0,36.82349339138283,0.012534033925641093,0.15605091753255068,0.06299169462942866,0.2583972660811578
ID2145,2145,8,-1.0,117.8835119062347,86.92750877967839,0.0,3555.0,237,5.0,1,,123.80203870586436,125.0,62.0,188.0,838016.0,17.616275030813583,70.27005466095189,63.0,0.0,255.0,475658.0,32.84534723698612,-0.0016551676224471447,-0.023302639585057298,0.036409235828322124,0.15031652210731036
ID2131,2131,8,-1.0,183.28351851163538,34.17150345132185,0.0,645.0,43,5.0,1,,118.46624316737977,120.0,55.0,177.0,801898.0,16.755201622397028,62.13620918894985,57.0,0.0,238.0,420600.0,26.10720876985737,-0.037159763709240755,-0.5457499022417679,0.02987315557063512,0.13807392490264547
ID2141,2141,8,-1.0,110.68951117964063,88.2355089117864,0.0,3555.0,237,5.0,1,,135.48293691830528,135.0,68.0,193.0,917084.0,16.987567937255594,76.86763185108401,69.0,0.0,255.0,520317.0,33.456415929750115,0.06134023942295155,0.9218796494913435,0.05549832946464182,0.24161085542745464
ID2134,2134,8,-1.0,115.48551166403668,93.90350948425446,0.0,2595.0,173,5.0,1,,127.92642931009038,130.0,20.0,215.0,865934.0,32.30361506650183,83.24080366376025,75.0,11.0,255.0,563457.0,33.11401584249358,0.018596492360020096,0.14459990474243345,0.06182633609076074,0.29273484828001695
ID2153,2153,9,-1.0,126.6035127869548,86.92750877967839,0.0,3555.0,237,5.0,1,,127.13029989658853,127.0,63.0,190.0,860545.0,14.96120414129332,67.34392081548015,63.0,0.0,255.0,455851.0,27.634918745909605,0.03392907806539481,0.557691246393146,0.031897112783194265,0.1506555648615978
ID2150,2150,9,-1.0,189.16951910612144,29.5935029889438,0.0,300.0,20,5.0,1,,121.14448219825645,122.0,55.0,184.0,820027.0,18.32757282327662,57.579258383808586,57.0,0.0,185.0,389754.0,17.128821672746,1.423468914525885E-4,0.0018815460471993013,-0.0038771853961553143,-0.02616810391978049
ID2161,2161,10,-1.0,129.43751307318882,82.56750833931834,0.0,3555.0,237,5.0,1,,121.8733934111384,122.0,63.0,190.0,824961.0,16.02833676693831,65.35042103707922,63.0,0.0,255.0,442357.0,26.772338282616214,-0.006847222705545912,-0.10484526765682596,0.03506770747733847,0.16539816897477172
ID2158,2158,10,-1.0,194.4015196345535,28.067502834817788,0.0,300.0,20,5.0,1,,124.79302703501297,126.0,52.0,186.0,844724.0,17.575533675956525,56.09085537006938,55.0,0.0,168.0,379679.0,15.725083127091342,0.009555765527678535,0.13441476134152874,0.009243391518238256,0.06533780538349232
ID2236,2236,11,-1.0,44.41750448616796,240.39952428035195,0.0,2520.0,168,5.0,1,,123.58959964544307,123.0,76.0,173.0,836578.0,13.303734366012446,60.90825823607667,58.0,0.0,200.0,412288.0,20.684182509401637,-0.014327317927931363,-0.2700663868475976,0.023846553959401634,0.13716982054020416
ID2239,2239,11,-1.0,44.853504530203956,238.43752408218992,0.0,3435.0,229,5.0,1,,123.80381149357413,123.0,76.0,186.0,838028.0,14.467117794871879,64.0193529324866,61.0,0.0,208.0,433347.0,20.584630650698585,-0.0136460423911473,-0.23678594378112508,0.053711155084466,0.3170597490242594
ID2244,2244,12,-1.0,63.81950644577015,110.68951117964063,0.0,195.0,13,5.0,1,,125.64440833210163,125.0,75.0,180.0,850487.0,15.651669159128302,75.57984931304297,72.0,0.0,200.0,511600.0,24.829242759647112,0.014659075000383697,0.23195242895923668,0.040645356990312645,0.23778296282095654
