LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID3332 ? ID3337,5,3332,3337,-1.0,0.006041364402811685,0.0076048031047633415,2.5095850245719027,1890.0,87.35589999999999,106.7197,0.0,
ID3341 ? ID3343,6,3341,3343,-1.0,NaN,0.005522506483014597,5.301606223694013,1050.0,88.44989999999999,119.55596666666668,0.0,
ID3343 ? ID3348,6,3343,3348,-1.0,0.002393326078090182,0.004246032647931646,2.3565481196020635,1807.5,87.72056666666666,116.49276666666668,0.0,
ID3343 ? ID3345,6,3343,3345,-1.0,0.003979973064270487,0.005672592592592609,2.0421333333333394,1710.0,89.83563333333333,116.93036666666669,0.0,
ID3352 ? ID3354,7,3352,3354,-1.0,NaN,0.014302754760939543,1.501789249898652,277.5,123.02029999999999,126.77636666666669,0.0,
ID3354 ? ID3356,7,3354,3356,-1.0,5.798305055491871E-4,0.001224324246446224,1.4875539594321623,937.5,122.8015,125.39063333333334,0.0,
ID3354 ? ID3359,7,3354,3359,-1.0,9.909565020675406E-4,0.0028216341567226387,3.512934525119685,952.5,123.82256666666666,124.80716666666669,0.0,
ID3363 ? ID3365,8,3363,3365,-1.0,NaN,0.00736700336700336,3.646666666666663,1387.5,55.119366666666664,135.96596666666665,0.0,
ID3365 ? ID3367,8,3365,3367,-1.0,0.026903551705852468,0.021131873870494144,1.901868648344473,1680.0,56.35923333333333,136.2577,0.0,
ID3365 ? ID3370,8,3365,3370,-1.0,0.001046536163474604,0.009046266642706267,3.528043990655444,1830.0,58.620166666666655,135.6742333333333,0.0,
ID3375 ? ID3377,9,3375,3377,-1.0,NaN,0.0054200811438423575,1.7073255603103425,1837.5,55.70283333333333,116.12809999999999,0.0,
ID3383 ? ID3385,10,3383,3385,-1.0,0.0032659721407158624,0.005950879089904172,3.927580199336753,2190.0,33.16643333333333,124.6613,0.0,
ID3383 ? ID3388,10,3383,3388,-1.0,0.0027090201058614714,0.0034109049131290895,2.6093422585437533,2242.5,32.51003333333334,124.80716666666666,0.0,
ID3381 ? ID3383,10,3381,3383,-1.0,NaN,0.0013254910958713435,2.3063545068161377,990.0,32.29123333333334,126.0470333333333,0.0,
ID3392 ? ID3394,11,3392,3394,-1.0,NaN,0.005257909892856298,3.5490891776780016,2092.5,93.77403333333332,108.17836666666666,0.0,
ID3398 ? ID3400,12,3398,3400,-1.0,NaN,0.001517905391048013,1.5710320797346933,1537.5,68.39323333333333,88.7781,0.0,
ID3400 ? ID3402,12,3400,3402,-1.0,0.0015739188814709296,0.0019304411036218099,2.953574888541369,2820.0,67.73683333333332,89.58036666666666,0.0,
ID3400 ? ID3405,12,3400,3405,-1.0,0.0014203161260979492,0.0024062145244011573,3.6815082223337705,2820.0,67.59096666666666,90.0909,0.0,
ID3441 ? ID3446,13,3441,3446,-1.0,9.309910196954889E-4,0.002939977969038429,3.9248705886663022,2917.5,100.44743333333334,44.76283333333333,0.0,
ID3439 ? ID3441,13,3439,3441,-1.0,NaN,0.0021159760705562274,2.221774874084039,1725.0,102.7813,43.74176666666666,0.0,
ID3441 ? ID3443,13,3441,3443,-1.0,0.0017549527692121327,0.0015218633483385252,2.0316875700319312,2917.5,102.1249,44.2523,0.0,
ID3450 ? ID3452,14,3450,3452,-1.0,NaN,0.008121691969353025,2.192856831725317,1575.0,160.47156666666666,110.62163333333334,0.0,
ID3456 ? ID3458,15,3456,3458,-1.0,NaN,0.0029568249544897783,7.007675142140775,1320.0,133.55916666666667,36.01083333333333,0.0,
ID3464 ? ID3466,16,3464,3466,-1.0,0.0013397489326545248,0.0015422693347571393,3.2387656029899925,2535.0,104.38583333333334,58.54723333333334,0.0,
ID3464 ? ID3469,16,3464,3469,-1.0,0.001191064851675699,0.0019756546213004146,4.148874704730871,2535.0,103.94823333333333,59.1307,0.0,
ID3462 ? ID3464,16,3462,3464,-1.0,NaN,0.001976774438290751,0.6523355646359479,1320.0,105.69863333333333,58.62016666666666,0.0,
ID3473 ? ID3475,17,3473,3475,-1.0,NaN,0.003775372549019603,4.813599999999994,1312.5,176.2981,84.07390000000001,0.0,
ID3553 ? ID3555,18,3553,3555,-1.0,5.253075082760799E-4,8.345680797710271E-4,1.8277040946985492,1830.0,179.0331,116.38336666666666,0.0,
ID3551 ? ID3553,18,3551,3553,-1.0,NaN,0.008281700007451685,3.8509905034650336,502.5,179.76243333333332,118.71723333333334,0.0,
ID3553 ? ID3558,18,3553,3558,-1.0,8.216231524687046E-4,0.0010350774627965052,2.94997076897004,2160.0,178.37669999999997,118.6443,0.0,
ID3564 ? ID3569,19,3564,3569,-1.0,1.8351447530556944E-4,0.00320284025623281,8.215285257237158,2302.5,161.9667,137.7528333333333,0.0,
ID3562 ? ID3564,19,3562,3564,-1.0,NaN,0.0032136721999141736,3.277945643912457,510.0,156.3508333333333,137.8987,0.0,
ID3564 ? ID3566,19,3564,3566,-1.0,1.8388648239472626E-4,0.002116379644769398,5.428513788833506,2302.5,160.58096666666665,137.60696666666666,0.0,
ID3573 ? ID3575,20,3573,3575,-1.0,NaN,0.00685529748198643,4.935814187030229,1575.0,158.83056666666664,107.12083333333334,0.0,
ID3579 ? ID3581,21,3579,3581,-1.0,NaN,0.0013401387021911143,1.487553959432137,2400.0,173.34429999999998,129.87603333333334,0.0,
ID3587 ? ID3589,22,3587,3589,-1.0,4.5757748015851513E-4,0.0017611122979451983,2.5095850245719076,2107.5,122.58269999999999,156.86136666666664,0.0,
ID3587 ? ID3592,22,3587,3592,-1.0,0.0010297219718977363,0.0033621079656016065,7.363016444667518,2490.0,123.60376666666667,160.6539,0.0,
ID3585 ? ID3587,22,3585,3587,-1.0,NaN,0.0015560793449994014,1.9840011648742368,757.5,121.26989999999999,158.53883333333334,0.0,
ID3598 ? ID3600,23,3598,3600,-1.0,0.001146217797832038,0.004688625234067439,7.454914122167228,2790.0,190.55656666666664,166.63443333333333,0.0,
ID3598 ? ID3603,23,3598,3603,-1.0,0.0012795244879217295,8.703224554023058E-4,1.3838127040896662,2790.0,192.2340333333333,164.08176666666668,0.0,
