LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2703 ? ID2708,14,2703,2708,-1.0,0.0023090830308852657,0.006436094209005064,2.220452502106747,1567.5,150.75803050625382,67.33288951449258,0.0,
ID2701 ? ID2703,14,2701,2703,-1.0,NaN,0.015993986312865832,1.1995489734649374,1357.5,152.28543064646917,66.89648947443106,0.0,
ID2703 ? ID2705,14,2703,2705,-1.0,1.7214122722590758E-4,0.011249753527760847,3.0374334524954287,1530.0,150.24889712618207,66.31462275434902,0.0,
ID2770 ? ID2772,15,2770,2772,-1.0,NaN,0.014456594888314155,0.650546769974137,1582.5,37.62132012030385,111.37292689070134,0.0,
ID2777 ? ID2779,16,2777,2779,-1.0,NaN,0.01456315148382862,3.05826181160401,3000.0,53.25898822250845,136.90232923430045,0.0,
ID2785 ? ID2790,17,2785,2790,-1.0,0.005485728355184502,0.02072672191385731,2.798107458370737,3502.5,33.620986419739886,185.19726700110908,0.0,
ID2783 ? ID2785,17,2783,2785,-1.0,NaN,0.00581713461017091,8.11490278118842,2737.5,33.98465311979115,180.03319986038105,0.0,
ID2785 ? ID2787,17,2785,2787,-1.0,2.592974093681204E-4,0.009934344618547308,1.3411365235038866,3502.5,32.82091967962709,184.61540028102704,0.0,
ID2794 ? ID2796,18,2794,2796,-1.0,NaN,0.010587342859201796,7.30526657284924,375.0,73.47885674535904,168.17766543870965,0.0,
ID2796 ? ID2798,18,2796,2798,-1.0,8.426661833055619E-5,0.007921571705726651,21.744714332219658,2092.5,63.296189143923485,178.43306638015548,0.0,
ID2796 ? ID2802,18,2796,2802,-1.0,1.6551910028020426E-4,0.0046117968153728504,13.143620923812623,2145.0,67.44198952450796,176.10559949982735,0.0,
ID2806 ? ID2808,19,2806,2808,-1.0,NaN,0.007842286582606125,8.704938106692799,2745.0,82.2068575465895,139.73892949470036,0.0,
ID2814 ? ID2819,20,2814,2819,-1.0,0.003538312760125075,0.0028236209064877262,1.4400466623087405,2670.0,48.45858778183168,174.869132719653,0.0,
ID2812 ? ID2814,20,2812,2814,-1.0,NaN,0.009738826763625955,11.102262510533588,1845.0,52.67712150242641,171.4506657391711,0.0,
ID2814 ? ID2816,20,2814,2816,-1.0,3.7451607526535546E-5,0.002827364045008141,0.8482092135024423,2565.0,47.58578770170864,174.578199359612,0.0,
ID2824 ? ID2826,21,2824,2826,-1.0,NaN,0.011274319415189457,8.11750997893641,1665.0,72.02418994515395,188.10660060151923,0.0,
ID2826 ? ID2828,21,2826,2828,-1.0,0.001981773610088617,0.004170597108404435,3.5033015710597253,2445.0,69.9149230848566,191.8160009420422,0.0,
ID2826 ? ID2831,21,2826,2831,-1.0,3.5985562701127294E-4,0.0012276074178207623,1.8966534605330776,2797.5,67.80565622455923,190.57953416186788,0.0,
ID2835 ? ID2837,22,2835,2837,-1.0,NaN,0.0112191903980161,23.055436267923085,2017.5,52.74985484243667,115.73692729131656,0.0,
ID2841 ? ID2843,23,2841,2843,-1.0,NaN,0.010508040163470194,8.353891929958804,892.5,37.54858678029359,174.57819935961203,0.0,
ID2847 ? ID2849,24,2847,2849,-1.0,NaN,0.01071046776838477,7.390222760185491,1095.0,11.873717756673955,170.7960656790788,0.0,
ID2853 ? ID2855,25,2853,2855,-1.0,NaN,0.014574701691577456,5.246892608967884,1635.0,19.437985117740364,175.74193279977607,0.0,
ID2855 ? ID2857,25,2855,2857,-1.0,0.007293265071811867,0.015239366478338923,1.6001334802255869,1867.5,16.746851537360968,177.56026630003242,0.0,
ID2855 ? ID2860,25,2855,2860,-1.0,0.008458521201362786,0.01668238843361763,1.751650785529851,1867.5,17.619651617484017,178.43306638015548,0.0,
