LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID3778,3778,14,-1.0,141.75518920574174,141.97785590781243,0.0,2775.0,185,5.0,1,,127.0316259883127,126.0,72.0,200.0,369535.0,17.904579443958507,0.005506932573618603,0.07771456458073443
ID3780,3780,14,-1.0,140.19652229124705,139.0831887808937,0.0,2790.0,186,5.0,1,,125.90237194912395,125.0,73.0,223.0,366250.0,16.611925764059613,-0.013080526387416058,-0.20090346583899615
ID3765,3765,14,-1.0,140.64185569538841,145.3178564388725,0.0,2550.0,170,5.0,1,,126.57373667927176,126.0,67.0,230.0,368203.0,18.0920905138606,0.01158100462957143,0.160188160730818
ID3783,3783,14,-1.0,144.87252303473116,141.5325225036711,0.0,3075.0,205,5.0,1,,143.0051564111391,143.0,63.0,242.0,416002.0,22.1617857232257,0.043045803268892034,0.5326039438620817
ID3789,3789,15,-1.0,233.93920386300007,81.18984624251888,0.0,3150.0,210,5.0,1,,121.92299759367444,122.0,62.0,177.0,354674.0,16.399780581333477,-0.02541728721010874,-0.38778238971173595
ID3787,3787,15,-1.0,233.93920386300007,84.08451336943763,0.0,3045.0,203,5.0,1,,123.14334822963214,124.0,51.0,179.0,358224.0,15.624739049135847,-0.014184617394766688,-0.2268037421503824
ID3793,3793,16,-1.0,193.8591974902791,70.05651113898527,0.0,1425.0,95,5.0,1,,121.89996562392498,122.0,49.0,183.0,354607.0,16.152002039221678,0.0011399797657042502,0.017187375128798563
ID3795,3795,16,-1.0,182.5031956846748,60.03650954580502,0.0,2325.0,155,5.0,1,,125.19697490546615,125.0,74.0,181.0,364198.0,16.87416138197598,0.0013782440927404915,0.020423474180501444
ID3801,3801,17,-1.0,189.4058634488656,59.81384284373435,0.0,2520.0,168,5.0,1,,121.7799931247843,122.0,60.0,184.0,354258.0,16.16197665961778,-0.0037611491204025166,-0.05689427190131082
ID3799,3799,17,-1.0,200.9845319565406,70.72451124519729,0.0,1335.0,89,5.0,1,,123.00859401856228,123.0,65.0,176.0,357832.0,15.076156799200986,-0.0024132283120264983,-0.03947503600090055
ID3805,3805,18,-1.0,229.931203225728,56.473842312674265,0.0,1140.0,76,5.0,1,,118.96424888277582,119.0,47.0,177.0,346067.0,17.07649552483874,-0.004492904625401974,-0.06288260920533432
ID3807,3807,18,-1.0,229.04053641744528,54.24717529196754,0.0,1455.0,97,5.0,1,,121.1237538673076,121.0,62.0,193.0,352349.0,18.682199272905393,-0.00899272470170418,-0.11766458654552794
ID3813,3813,19,-1.0,241.95520513754428,50.684508058836784,0.0,1365.0,91,5.0,1,,123.41663801993796,123.0,72.0,199.0,359019.0,16.43871778685526,-0.008904052011966253,-0.13489869713865144
ID3811,3811,19,-1.0,241.50987173340295,53.13384178161418,0.0,1230.0,82,5.0,1,,124.9735304228264,125.0,74.0,174.0,363548.0,15.073854883415512,0.004336482985299272,0.07159490415307472
ID3824,3824,20,-1.0,198.75786493583382,45.11784050706998,0.0,1620.0,108,5.0,1,,120.31935372980249,120.0,68.0,174.0,350009.0,15.186034818293042,-0.03710239811879792,-0.6105805574062537
ID3817,3817,20,-1.0,196.97653131926847,53.8018418878262,0.0,990.0,66,5.0,1,,120.25575799243573,120.0,64.0,186.0,349824.0,15.787987921341076,-0.009643155943274365,-0.1483325876601983
ID3819,3819,20,-1.0,198.75786493583382,48.01250763398871,0.0,1380.0,92,5.0,1,,120.80715022344326,120.0,72.0,175.0,351428.0,15.591774840181026,-0.013498752927127945,-0.21204258524936387
ID3821,3821,20,-1.0,201.20719865861128,45.563173911211315,0.0,1590.0,106,5.0,1,,121.44998281196199,122.0,72.0,170.0,353298.0,15.490534587119743,-0.032087931696157146,-0.5198366164546507
ID3832,3832,21,-1.0,197.8671981275512,52.911175079543504,0.0,2535.0,169,5.0,1,,119.32760398762336,119.0,66.0,176.0,347124.0,15.581957009640119,-0.0054926742560726235,-0.08459111930512245
ID3835,3835,21,-1.0,196.08586451098577,51.79784156919015,0.0,2535.0,169,5.0,1,,120.29975936747852,120.0,74.0,176.0,349952.0,15.766725032055158,0.0051151413648782154,0.07765958865069361
ID3828,3828,21,-1.0,214.56720078285161,66.04851050171317,0.0,915.0,61,5.0,1,,126.17325541423207,126.0,70.0,179.0,367038.0,15.084113992379027,0.005226132248751532,0.08697493717674167
ID3830,3830,21,-1.0,208.55519982694346,56.25117561060359,0.0,2085.0,139,5.0,1,,127.95049845307716,128.0,53.0,189.0,372208.0,16.80885001161426,0.02243879561022083,0.33411517298694493
