LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_7,7,7,4,3,1,0,0,154,3330.0,225.0,3555.0,3.2352995401302223,83.4667584301426,35.83375361920912,0.0,0.0020548996419433477,0.0034885170212075474,4.193228974870566E-4,0.0022568590071354393,0.0015445319132869001,-1.0,11.353871113136071,8.920703675997093,0.28495123010398477,9.715614234625292E-4,0.4728023712845216,3.1924909558390095E-4
Track_8,8,8,2,1,0,0,0,196,2955.0,600.0,3555.0,3.3787727838447807,93.49549900463204,49.636761798281626,0.0,0.0011434087254973877,0.0011434087254973877,0.0011434087254973877,0.0011434087254973877,NaN,-1.0,3.3787727838447807,3.3787727838447807,1.0,0.0011434087254973877,1.0,NaN
Track_9,9,9,2,1,0,0,0,234,3525.0,30.0,3555.0,2.565853514194597,148.02190117150639,51.03487467435533,0.0,7.279017061544955E-4,7.279017061544955E-4,7.279017061544955E-4,7.279017061544955E-4,NaN,-1.0,2.565853514194597,2.565853514194597,1.0,7.279017061544955E-4,1.0,NaN
Track_10,10,10,4,3,1,0,0,167,3180.0,375.0,3555.0,3.386798383711738,147.70150030407282,53.452444855899444,0.0,0.0013292439343538783,0.002368390478120104,6.93508371068304E-4,9.25832953873227E-4,9.073934276320496E-4,-1.0,5.643877854411927,3.386798383711738,0.600083572160268,0.0010650309382741316,0.8012306174576032,4.2943234917980865E-4
Track_11,11,11,4,3,1,0,0,158,2895.0,660.0,3555.0,4.3857706257649145,135.2058664741641,84.8226025128031,0.0,0.0019850223089955808,0.0025631599688053235,0.0015080615122377002,0.001883845445943719,5.347763611787704E-4,-1.0,10.670624409718908,7.014795178778637,0.4110134943715489,0.0015149466755664644,0.7631887403487299,2.218948676892189E-4
Track_12,12,12,4,3,1,0,0,148,2970.0,585.0,3555.0,4.252194307854282,144.17709076230372,68.77343178954041,0.0,0.001182485938869192,0.0017328644847897279,7.925809955066617E-4,0.0010220123363111867,4.902520707687455E-4,-1.0,6.203140250294567,4.252194307854282,0.6854905960980584,0.0014317152551697918,1.2107672557518419,5.816114177370936E-4
Track_13,13,13,4,3,1,0,0,147,3255.0,300.0,3555.0,1.6186004018152003,105.61247726393745,45.122022302626974,0.0,0.003193755177965876,0.004345240050112689,0.0013855570228817715,0.003850468460903167,0.0015853659380122302,-1.0,11.558494899698943,3.0759365907975327,0.14003556828643485,4.972658684532105E-4,0.15569943240606265,0.0027027231398162855
Track_14,14,14,4,3,1,0,0,159,2775.0,780.0,3555.0,5.804460738273782,130.98240049435816,49.7532712046211,0.0,0.00200982292996178,0.002864436403838904,7.902648848159981E-4,0.002374767501230437,0.001084174929453405,-1.0,8.670241377951033,5.804460738273782,0.6694693360019814,0.0020916975633419035,1.0407372371762524,6.605164768201788E-4
Track_15,15,15,4,3,1,0,0,167,3555.0,0.0,3555.0,3.2497562514161897,137.7399460620477,37.7236750000703,0.0,0.0010055107497524832,0.0012585649883729982,7.750212466433699E-4,9.829460142410816E-4,2.4256032859475807E-4,-1.0,5.73269226039487,3.3383553869440616,0.5668813366919412,9.141367795826132E-4,0.9091268092435981,2.2913714197386116E-4
Track_16,16,16,4,3,1,0,0,110,2790.0,585.0,3375.0,2.399075511234408,165.7313309351066,36.96636385886371,0.0,0.001487453362198049,0.002658277660259671,2.3157595786063147E-4,0.0015725064684738443,0.0012155845553773585,-1.0,7.145281867318933,4.009007240008826,0.335756595160688,8.59883695782942E-4,0.5780911977719215,0.001712978665235708
Track_17,17,17,4,3,1,0,0,184,3555.0,0.0,3555.0,7.608876009647274,120.4091718690508,92.0170583542657,0.0,0.0018783684830197718,0.002452822639436585,0.0012674552506871,0.00191482755893563,5.935241441931171E-4,-1.0,13.108844396018835,7.608876009647274,0.5804383498486025,0.0021403308044014835,1.1394626899619644,3.804920288430033E-4
Track_18,18,18,4,3,1,0,0,172,3270.0,285.0,3555.0,7.2386010537345555,180.63361218971508,113.16260537514339,0.0,0.0013727131822555902,0.002712501952131192,5.255135406472727E-4,8.801240539883057E-4,0.0011737600329524691,-1.0,8.996733940202223,7.2386010537345555,0.8045809848159021,0.00221363946597387,1.6126015941192475,6.521169657030272E-4
Track_19,19,19,4,3,1,0,0,167,3300.0,255.0,3555.0,2.4244036966839824,168.83703479784324,121.05611765464283,0.0,0.0016789444940499589,0.0025907486028639007,0.0011375759017696373,0.0013085089775163388,7.942572497204837E-4,-1.0,10.71343830593852,6.2024163004143045,0.2262955764014734,7.34667786873934E-4,0.4375771739194096,9.919191171211456E-4
Track_20,20,20,8,7,3,0,0,177,3330.0,225.0,3555.0,7.590120608600912,193.87199348503796,97.08430730029583,0.0,0.005072377487202064,0.012132900708039454,7.64696178521804E-4,0.004003171572630575,0.004188773285976774,-1.0,16.486102786770832,8.660184221759515,0.4603950798299981,0.0022793154980783516,0.4493584130576267,0.005981012426545023
Track_21,21,21,8,7,3,0,0,121,3510.0,45.0,3555.0,2.148327302879178,142.3020175040278,95.48230296312806,0.0,0.001178496395175086,0.002589097918655025,3.2463592155304073E-4,8.439813744141413E-4,8.154066274395219E-4,-1.0,11.124209547523133,4.956787225178624,0.19312179384085001,6.120590606493384E-4,0.5193559039766146,0.0011938479296031582
Track_22,22,22,4,3,1,0,0,155,3060.0,495.0,3555.0,2.919717354262635,166.97288429641162,89.91897881041811,0.0,0.001278706501780525,0.0019564501199227356,6.671952621050862E-4,0.0012124741233137534,6.471742949697756E-4,-1.0,7.895663317889047,4.367160482583109,0.36978746898281356,9.541559981250441E-4,0.7461884308842076,7.594309524567908E-4
Track_23,23,23,4,3,1,0,0,135,2535.0,1020.0,3555.0,1.3587214873249052,156.3705283195194,103.02628702360906,0.0,0.0018780455598270997,0.0029492094487500596,6.877250175273242E-4,0.001997202213203915,0.0011354411870276137,-1.0,3.851432808422959,2.2501703887839732,0.3527833808637204,5.359848076232367E-4,0.2853949973783286,0.002884385062497459
Track_24,24,24,8,7,3,0,0,101,3150.0,405.0,3555.0,2.189013006642189,181.07052246348812,120.88135354513362,0.0,0.002692720780164228,0.004983551158056313,1.1592975755171612E-4,0.003382463362378271,0.0017934652343447493,-1.0,17.167813610368178,5.27518773309849,0.12750680175838908,6.949247640133933E-4,0.25807531517286025,0.0021705546912457892
Track_25,25,25,4,3,1,0,0,122,2775.0,780.0,3555.0,2.457768619232052,192.10978871415338,120.76484413879415,0.0,9.70279482106798E-4,0.001152356180990335,7.30495423292969E-4,0.0010279868420370898,2.1676999161286627E-4,-1.0,4.70209362114806,2.457768619232052,0.5226966575437868,8.856823853088476E-4,0.9128116193756236,8.042952841379859E-4
Track_26,26,26,2,1,0,0,0,121,1830.0,960.0,2790.0,0.8482012812861809,194.93514181788566,121.31826381890664,0.0,4.6349796791594585E-4,4.6349796791594585E-4,4.6349796791594585E-4,4.6349796791594585E-4,NaN,-1.0,0.8482012812861809,0.8482012812861809,1.0,4.6349796791594585E-4,1.0,NaN
Track_27,27,27,4,3,1,0,0,180,3555.0,0.0,3555.0,2.565853514194608,213.6528785726777,117.13120702858177,0.0,7.860376915222349E-4,0.0012772804851885577,1.961537887968131E-4,8.846788005813338E-4,5.472716735863813E-4,-1.0,5.038209865007504,2.5737769098353427,0.5092788079384196,7.217590757228152E-4,0.9182245120142544,2.5859488908550044E-4
Track_28,28,28,6,5,2,0,0,167,3540.0,15.0,3555.0,3.985234857034735,220.7308250078008,116.00494943396684,0.0,0.0014348247195751444,0.0038054328840702364,1.0338212404492476E-4,9.904754406508543E-4,0.0014849060369744327,-1.0,8.158615074725482,3.985234857034735,0.4884695282880261,0.0011257725584843884,0.7846063307424288,0.0013913200055903083
